blocker,framework,covered,justification
Input/expected-output schema,BetterBench,partial,"Replicability items ask whether an evaluation can be re-run but do not require an executable input/output contract"
Input/expected-output schema,BenchmarkCards,yes,"Methodology fields document task inputs and expected outputs"
Input/expected-output schema,ReproEvalCard,yes,"Reporting schema requires prompt and output format disclosure"
Input/expected-output schema,Rollout Cards,yes,"Rollout records fix the prediction/trajectory format"
Input/expected-output schema,Auto Benchmark Audit,no,"Unit of analysis is the task instance, not the evaluator interface"
Metric definition,BetterBench,yes,"Explicit best-practice item on metric specification"
Metric definition,BenchmarkCards,yes,"Documented metric field"
Metric definition,ReproEvalCard,yes,"Metric and judge-setting reporting requirement"
Metric definition,Rollout Cards,yes,"Re-grading requires a stated metric"
Metric definition,Auto Benchmark Audit,partial,"Detects metric misuse at task level but does not audit release-level metric disclosure"
Grading rules & tie-breaking,BetterBench,partial,"Covered only indirectly through replicability and statistical-reporting items"
Grading rules & tie-breaking,BenchmarkCards,no,"No field for grading edge cases or tie-breaking policy"
Grading rules & tie-breaking,ReproEvalCard,partial,"Judge settings are reported; deterministic grading edge cases are not"
Grading rules & tie-breaking,Rollout Cards,yes,"Central object: re-grading fixed outputs under alternative reporting rules"
Grading rules & tie-breaking,Auto Benchmark Audit,no,"Task-level auditing does not target the grading policy of the release"
Predictions->aggregate-score mapping,BetterBench,no,"Not a checklist item"
Predictions->aggregate-score mapping,BenchmarkCards,no,"Not a documentation field"
Predictions->aggregate-score mapping,ReproEvalCard,no,"Not in the reporting schema"
Predictions->aggregate-score mapping,Rollout Cards,partial,"Aggregation is manipulated but its public documentation is not audited per release"
Predictions->aggregate-score mapping,Auto Benchmark Audit,no,"Out of scope at the task level"
Evaluator implementation available,BetterBench,partial,"Usability and replicability items reward available code without verifying an evaluator path"
Evaluator implementation available,BenchmarkCards,no,"Artifact links are documented but not verified"
Evaluator implementation available,ReproEvalCard,no,"Audits papers rather than release artifacts"
Evaluator implementation available,Rollout Cards,yes,"Repository inspection identifies scoring code"
Evaluator implementation available,Auto Benchmark Audit,yes,"Inspects repositories to run task-level checks"
credential-or-service-blocked,BetterBench,no,"Runtime access dependence is not assessed"
credential-or-service-blocked,BenchmarkCards,no,"Not a documentation field"
credential-or-service-blocked,ReproEvalCard,no,"Not observed because no execution is attempted"
credential-or-service-blocked,Rollout Cards,partial,"Encountered when re-grading but not reported as a release-level endpoint"
credential-or-service-blocked,Auto Benchmark Audit,partial,"Execution is attempted but blockers are not a reported outcome dimension"
dependency-or-environment-failure,BetterBench,partial,"Usability items ask for environment specification without executing it"
dependency-or-environment-failure,BenchmarkCards,no,"Not a documentation field"
dependency-or-environment-failure,ReproEvalCard,no,"No execution attempted"
dependency-or-environment-failure,Rollout Cards,yes,"Observed directly when re-running scoring code"
dependency-or-environment-failure,Auto Benchmark Audit,yes,"Observed directly when executing task-level checks"
missing-required-data,BetterBench,partial,"Data availability is a documentation item, not an execution outcome"
missing-required-data,BenchmarkCards,yes,"Dataset access conditions are a documented field"
missing-required-data,ReproEvalCard,partial,"Retrieval-snapshot reporting captures part of this"
missing-required-data,Rollout Cards,yes,"Blocks re-grading and is observed"
missing-required-data,Auto Benchmark Audit,yes,"Blocks task-level execution and is observed"
