benchmark,category,screening_status,repository_or_artifact,frozen_commit,screening_note,audit_date
ARCADE,code-gen,official_artifact_unresolved_after_rescreen,,,"no single official public evaluator repository located; released via google-research subdir, deferred",2026-07-16
Archer,text2sql,official_artifact_unresolved_after_rescreen,,,official public repository not located at audit date,2026-07-16
BigCodeBench,code-gen,repository_resolved_audit_cohort,https://github.com/bigcode-project/bigcodebench,09dd993f46c3fbf3a799465bb96d524edcb0b199,,2026-07-13
BIRD,text2sql,repository_resolved_audit_cohort,https://github.com/AlibabaResearch/DAMO-ConvAI,483554eae102996f5ec1f4feab4e78ef29c2a394,,2026-07-13
BIRD-CRITIC / SQL-eval,text2sql,repository_resolved_audit_cohort,https://github.com/defog-ai/sql-eval,b83332416ea2d424b0cd12994a0a9ba100f4b4af,no dedicated arXiv paper located (repository tool),2026-07-13
BixBench,e2e-agent,repository_resolved_audit_cohort,https://github.com/future-house/bixbench,49311180bdacb324c596f2e07596c126f2004008,,2026-07-13
BLADE,e2e-agent,repository_resolved_audit_cohort,https://github.com/behavioral-data/BLADE,6118fa8d5007b91aa8c91c518182db82446a4547,,2026-07-13
DA-Bench / Text2Analysis,e2e-agent,official_artifact_unresolved_after_rescreen,,,evaluator repository not resolved at audit date,2026-07-16
DA-Code,code-gen,repository_resolved_audit_cohort,https://github.com/yiyihum/da-code,b211daf51fdc9b52d5087c9df28ac50191bcabed,,2026-07-13
DataBench,tabular,post_freeze_resolved_extension,https://github.com/jorses/databench_eval,65f92cfad4f986f5496170f6bbcee48323f56c2f,"Found during post-freeze search; coded as expansion sensitivity, not added retrospectively to the primary cohort",2026-07-16
DataSciBench,e2e-agent,repository_resolved_audit_cohort,https://github.com/THUDM/DataSciBench,84ef3d4d94d7362a5149cf14a73dc168fc4f2f33,Findings of ACL 2026,2026-07-13
DiscoveryBench,e2e-agent,repository_resolved_audit_cohort,https://github.com/allenai/discoverybench,c31fcf011e070f021a5f5b906896d0821f6880e8,,2026-07-13
Dr.Spider,text2sql,repository_resolved_audit_cohort,https://github.com/awslabs/diagnostic-robustness-text-to-sql,c64694a4a278ab0faff08ce7a3501d46f458b431,,2026-07-13
DS-1000,code-gen,repository_resolved_audit_cohort,https://github.com/xlang-ai/DS-1000,b39aab71da6d23ef8d3cac59a7c5f834516ab334,,2026-07-13
DSBench,ml-eng,repository_resolved_audit_cohort,https://github.com/LiqiangJing/DSBench,ba786096137a5108af11c016ad3f09cdb97beefd,,2026-07-13
DSP (Data Science Problems),code-gen,official_artifact_unresolved_after_rescreen,,,official repo not located under microsoft/DataScienceProblems or standard variants; unresolvable at audit date,2026-07-16
InfiAgent-DABench,e2e-agent,repository_resolved_audit_cohort,https://github.com/InfiAgent/InfiAgent,3d6c4a70198e0a41fadf539f5b43c88b8c1a2d9c,,2026-07-13
MLAgentBench,ml-eng,repository_resolved_audit_cohort,https://github.com/snap-stanford/MLAgentBench,5d71205cc20a8e95d43aa7cb7120e89ca3323e31,,2026-07-13
MLE-bench,ml-eng,repository_resolved_audit_cohort,https://github.com/openai/mle-bench,507f92e1138bb6e40dac5c6ee7a6758e6424bf97,,2026-07-13
MLGym,ml-eng,repository_resolved_audit_cohort,https://github.com/facebookresearch/MLGym,9d40c1b5035202018cd7091fb4e83a9c68b377c0,,2026-07-13
MMTU,tabular,post_freeze_resolved_extension,https://github.com/MMTU-Benchmark/MMTU,82429014a3153c10bc9a94260cf0a7f52b449611,"Found during post-freeze search; coded as expansion sensitivity, not added retrospectively to the primary cohort",2026-07-16
PandasEval/NumpyEval (CERT),code-gen,repository_resolved_audit_cohort,https://github.com/microsoft/PyCodeGPT,62d8430dfa0e38b5efa66e6736c20942d131e9b7,,2026-07-13
QRData,e2e-agent,repository_resolved_audit_cohort,https://github.com/xxxiaol/QRData,de450af45ff7101b328bb064c6b475f73414a7ed,,2026-07-13
RE-Bench,ml-eng,repository_resolved_audit_cohort,https://github.com/METR/ai-rd-tasks,93b98062e55f6945d4a7e213a3226dd419896170,,2026-07-13
ScienceAgentBench,e2e-agent,repository_resolved_audit_cohort,https://github.com/OSU-NLP-Group/ScienceAgentBench,72220ee8d20a0b8770835e48c22675c65074c364,,2026-07-13
ScienceBenchmark,text2sql,post_freeze_resolved_extension,https://github.com/ckosten/sciencebenchmark_dataset,82fca50f7dbe92079e2441b43c1a63459188ec7a,"Found during post-freeze search; coded as expansion sensitivity, not added retrospectively to the primary cohort",2026-07-16
Spider,text2sql,repository_resolved_audit_cohort,https://github.com/taoyds/spider,b7b5b8c890cd30e35427348bb9eb8c6d1350ca7c,,2026-07-13
Spider 2.0,text2sql,repository_resolved_audit_cohort,https://github.com/xlang-ai/Spider2,01a4c67c1e3f6ab9032716b050a927abbb245f65,,2026-07-13
