benchmark,category,commit,R2,n_ok_of_5,attempted_execution,first_pass_label,first_pass_runtime_s,repair_label,repair_runtime_s,E3_first_pass,E3_after_repair,E3_smoke_testable,prediction_source,first_pass_detail,repair_detail,notes
BigCodeBench,code-gen,09dd993f46c3fbf3a799465bb96d524edcb0b199,1,5,False,credential-or-service-blocked,,,,False,False,False,n/a,"bigcodebench/evaluate.py defaults execution='gradio' -> remote HF Space endpoint; supports execution='local' but needs a samples JSONL (none shipped), HF dataset load, and package install (fire)",,local-mode CPU path exists (would need synthetic samples + HF dataset access + heavy install); default invocation is a remote service; not attempted this pass
DA-Code,code-gen,b211daf51fdc9b52d5087c9df28ac50191bcabed,1,5,True,missing-required-data,,,,False,False,False,n/a,evaluate.py Evaluator requires --gold_dir (da_code/gold) + per-task env_config JSONL; gold answer files not present in blobless clone (external download),,scorer structure present but required gold data not in clone
DS-1000,code-gen,b39aab71da6d23ef8d3cac59a7c5f834516ab334,1,5,True,dependency-or-environment-failure,0.64,pass-after-minimal-repair,1.07,False,True,True,OFFICIAL shipped sample predictions (data/gpt-4o-2024-08-06-answers.jsonl),test_ds1000.py first pass: ProcessPoolExecutor -> os.sysconf('SC_SEM_NSEMS_MAX') PermissionError (sandbox blocks semaphores),"In-process execution shim: ProcessPoolExecutor->serial, multiprocessing.Manager->signal-based ITIMER timeout preserving exact pass/fail semantics; 50-problem smoke slice; no repo edit",Pandas 50 problems mean 0.48; by perturbation Difficult-Rewrite .389 Origin .529 Semantic .538 Surface .500
PandasEval/NumpyEval (CERT),code-gen,62d8430dfa0e38b5efa66e6736c20942d131e9b7,0,2,True,dependency-or-environment-failure,,,,False,False,False,n/a,eval_human_eval.py uses transformers AutoModelForCausalLM (generation) + human_eval harness,,generation-coupled; human_eval execution harness
BLADE,e2e-agent,6118fa8d5007b91aa8c91c518182db82446a4547,0,4,True,credential-or-service-blocked,,,,False,False,False,n/a,run_get_eval.py requires llm_eval_config (./conf/llm_eval.yaml); the evaluator itself invokes an LLM for grading,,LLM-based evaluation; not CPU-smoke-testable without model inference (violates 0 paid API / no FM inference)
BixBench,e2e-agent,49311180bdacb324c596f2e07596c126f2004008,1,5,True,credential-or-service-blocked,,,,False,False,False,n/a,"generate_zeroshot_evals.py is generation-side (async), loads dataset + issues model calls; no standalone CPU scorer over supplied predictions located",,evaluation coupled to model generation
DataSciBench,e2e-agent,84ef3d4d94d7362a5149cf14a73dc168fc4f2f33,0,0,False,missing-required-data,,,,False,False,False,n/a,check_eval_results.py is an interactive human-verification tool (input y/n) reading pre-existing per-model completion dirs; automated metric (calculate_final_metric.py) needs pre-computed BCB/model outputs not in clone,,R2=not-documented (0/5); no self-contained scorer path
DiscoveryBench,e2e-agent,c31fcf011e070f021a5f5b906896d0821f6880e8,0,2,True,credential-or-service-blocked,,,,False,False,False,n/a,eval/eval.py imports `from openai import OpenAI` and grades hypotheses via run_chatgpt_query_multi_turn (LLM-based semantic evaluation),,LLM-based evaluator; excluded by 0 paid API / no FM inference
InfiAgent-DABench,e2e-agent,3d6c4a70198e0a41fadf539f5b43c88b8c1a2d9c,1,5,True,pass-as-documented,0.08,,,True,False,True,10 synthetic @name[value] responses keyed to real label IDs (every 3rd corrupted),Scorer examples/DA-Agent/eval_closed_form.py ran on shipped labels + synthetic responses under corrected std-path env,,"Accuracy-by-Question 30%, Proportional-by-SubQ 56.67%, by-SubQ 66.67%"
QRData,e2e-agent,de450af45ff7101b328bb064c6b475f73414a7ed,1,5,True,pass-as-documented,0.04,,,True,False,True,"schema-valid synthetic (4 items, both fields fabricated)","Scorer benchmark/eval.py read tmp.json list of {pred,answer,meta_data} and computed accuracy",,accuracy 0.75 on synthetic; scorer-path only; zero requirement signals
ScienceAgentBench,e2e-agent,72220ee8d20a0b8770835e48c22675c65074c364,1,5,True,pass-as-documented,0.04,,,True,False,True,schema-valid synthetic run_logs+eval_logs (2 runs x 5 tasks),calculate_metrics.py log-aggregator ran on schema-valid synthetic run/eval logs (success_rate/valid_program/codebert_score/cost),,SR 0.80 / CodeBERTScore 0.7298 / ValidProgram 1.0 / Cost 0.3724; note compute_scores.py (CodeBERT+program exec) not smoke-tested
Spider2-V,e2e-agent,c2a3a6c2f5d7604464f162c6550b60db3eee04e8,0,3,False,not-applicable,,,,False,False,False,n/a,Repo provides retrieval utilities (mm_agents/retrieval); no standalone prediction-scoring evaluator located at maxdepth 3 (multimodal agent environment eval),,"evaluation is environment/VM-based agent execution, not a prediction scorer"
