repro_claim,repro_quote,availability_claim,availability_quote,one_command_eval,benchmark,parse_ok,A1_accessible,E3_first_pass,E3_smoke_testable,sample_predictions,container,claims_runnable_eval,concordance,first_pass_label,R2_reconstructable,concordance_neutral
explicit,"To make the evaluation fully reproducible, we add a real-time code execution session to the leaderboard",code+data+eval,The dataset is available here,True,BigCodeBench,True,True,False,False,0,1,True,claim-not-supported,credential-or-service-blocked,1,framed-runnable-but-gated
implicit,python evaluate.py --output_dir output/gpt4turbo --gold_dir da_code/gold --eval_json da_code/configs/eval/all.jsonl,code+data+eval,We provide 100 examples of the dataset in the source folder. To get the full dataset,True,DA-Code,True,True,False,False,1,0,True,claim-not-supported,missing-required-data,1,framed-runnable-but-gated
implicit,The provided test_ds1000.py script evaluates DS-1000 on data/codex002-answers.jsonl,code+data+eval,Official data and code release for the paper,True,DS-1000,True,True,False,True,0,0,True,claim-supported,dependency-or-environment-failure,1,ran-as-framed
implicit,Run eval_human_eval.py to generate programs,code+eval,PyCodeGPT-110M is available on [HuggingFace],True,PandasEval/NumpyEval (CERT),True,True,False,False,1,0,True,claim-not-supported,dependency-or-environment-failure,0,framed-runnable-but-gated
implicit,We provide a starter script to evaluate the outputs of run_gen_analyses.py.,code+data+eval,"Dataset and code for ""BLADE: Benchmarking Language Model Agents for Data-Driven Science""",False,BLADE,True,True,False,False,1,0,False,no-claim-no-run,credential-or-service-blocked,0,no-runnable-framing-and-did-not-run
explicit,"For quick reproduction of BixBench results, we provide automated scripts that handle the entire evaluation pipeline",code+data+eval,"You can find the BixBench dataset on Hugging Face, read details in the paper",True,BixBench,True,True,False,False,0,0,True,claim-not-supported,credential-or-service-blocked,1,framed-runnable-but-gated
none,,code_only,pip install --upgrade metagpt,False,DataSciBench,True,True,False,False,1,1,False,no-claim-no-run,missing-required-data,0,no-runnable-framing-and-did-not-run
implicit,"To evaluate the outputs generated by the discovery agents, use the discovery_eval.py script",code+data+eval,"Contains both real and synthetic datasets, located in the discoverybench folder.",True,DiscoveryBench,True,True,False,False,0,0,True,claim-not-supported,credential-or-service-blocked,0,framed-runnable-but-gated
none,,code+data+eval,InfiAgent-DABench and DA-Agent released at huggingface,False,InfiAgent-DABench,True,True,True,True,1,0,False,exceeds-claim,pass-as-documented,1,ran-despite-modest-framing
implicit,The script for evaluation is in 'benchmark/eval.py'.,code+data+eval,We provide the questions of quantitative reasoning with data (QRData) in `benchmark/QRData.json`.,False,QRData,True,True,True,True,0,0,False,exceeds-claim,pass-as-documented,1,ran-despite-modest-framing
