benchmark,criterion,coder_A,coder_B,adjudicated,pointer,rationale
BLADE,Sample predictions / trajectories,claimed-but-not-verifiable,documented-and-verifiable,partially-documented,README.md §3 + example/multirun_analyses.json,"README documents run outputs (multirun_analyses.json) and cites example/multirun_analyses.json, but that sample file's contents are not shown in evidence, so verifiability is incomplete."
DataSciBench,Metric definition,not-documented,documented-and-verifiable,not-documented,MetaGPT/examples/werewolf_game/evals/eval.py,Shown evidence is MetaGPT's generic README and an unrelated werewolf-game vote evaluator; no DataSciBench metric definition appears anywhere.
DataSciBench,Evaluator implementation available,not-documented,documented-and-verifiable,not-documented,MetaGPT/examples/werewolf_game/evals/eval.py,"Shown evaluator source is werewolf-game voting eval, unrelated to DataSciBench; no DataSciBench evaluator implementation present in evidence."
DataSciBench,Predictions->aggregate-score mapping,not-documented,partially-documented,not-documented,MetaGPT/examples/werewolf_game/evals/eval.py,Shown evidence is a werewolf-game voting evaluator; no DataSciBench prediction-to-aggregate-score mapping appears in README or evaluator source.
DataSciBench,Sample predictions / trajectories,not-documented,documented-and-verifiable,not-documented,MetaGPT/README.md; examples/werewolf_game/evals/eval.py,Shown README covers MetaGPT framework and werewolf voting eval; neither documents any DataSciBench sample predictions or trajectories.
QRData,Grading rules & tie-breaking,partially-documented,documented-and-verifiable,documented-and-verifiable,benchmark/eval.py; README.md Benchmark section,"README documents 411 questions, data files, and eval.py; eval.py source fully specifies metric: 3% tolerance numerical, prefix-match multiple choice."
DSBench,Predictions->aggregate-score mapping,partially-documented,not-documented,partially-documented,data_modeling/evaluation/*_eval.py,"Per-task eval scripts show prediction->per-task metric (roc_auc, rmsle) writing result.txt, but no documented aggregation of per-task scores into a benchmark aggregate score."
MLGym,Grading rules & tie-breaking,partially-documented,not-documented,partially-documented,README.md Installation/Quick Start; data/*/evaluate.py,"README gives install, container setup, and runnable eval commands, but explicitly notes docs 'under construction' and evaluators reference undocumented data files/models, so incomplete."
MLGym,Sample predictions / trajectories,claimed-but-not-verifiable,not-documented,not-documented,README.md Trajectory Visualizer; data/*/evaluate.py,"README describes a visualizer for trajectories but ships no sample trajectories/predictions; evaluators produce metrics only. No sample trajectories documented, so no verifiability claim exists."
TabFact,Metric definition,partially-documented,not-documented,not-documented,README.md / code/run_BERT.py,"README reports 'accuracy' but never defines the metric; run_BERT.py imports f1/matthews/pearson but shown source cuts off before any metric computation, so no definition visible."
TabFact,Evaluator implementation available,partially-documented,not-documented,partially-documented,README.md Evaluating sections; code/run_BERT.py,"Eval commands documented and run_BERT.py present with dev-set scoring, but shown source truncates before actual accuracy/metric computation, so full evaluator not confirmed."
TabFact,Grading rules & tie-breaking,not-documented,not-applicable,documented-and-verifiable,README.md §Evaluating the ranking model / Checkpoints,README provides LPA checkpoints in code/checkpoints and exact eval commands (model.py --do_test --resume) claimed to reproduce paper numbers; verifiable from repo.
TabFact,Predictions->aggregate-score mapping,partially-documented,not-documented,partially-documented,README.md News #1; run_BERT.py QqpProcessor.get_labels,"README defines label=1 entailed/0 refuted per statement; get_labels returns ['0','1']. But per-statement to aggregate-score (accuracy) mapping not shown in visible evaluator code."
WikiTableQuestions,Evaluator implementation available,documented-and-verifiable,partially-documented,documented-and-verifiable,README.md Evaluator section + evaluator.py,README documents evaluator.py usage and I/O format; evaluator source present at frozen commit with normalize/match logic and value types fully shown.
WikiTableQuestions,Grading rules & tie-breaking,partially-documented,documented-and-verifiable,documented-and-verifiable,"README.md (Evaluator, Dataset Splits) + evaluator.py","README specifies exact splits, evaluator usage, and prediction format; evaluator.py source shows full matching/normalization logic, so the evaluation is fully documented and inspectable."
BIRD-CRITIC / SQL-eval,Input/expected-output schema,partially-documented,documented-and-verifiable,partially-documented,README.md (Import Data / question files) + eval/eval.py,"README describes CSV question/query files and dataframe exact/subset comparison, but no explicit column schema for input CSVs or expected-output format is shown."
BIRD-CRITIC / SQL-eval,Evaluator implementation available,documented-and-verifiable,partially-documented,documented-and-verifiable,eval/eval.py + README 'Running the Test',Evaluator source (eval/eval.py) present at frozen commit with dataframe compare helpers; README documents full run procedure and metrics. Implementation is available and inspectable.
BIRD-CRITIC / SQL-eval,Grading rules & tie-breaking,partially-documented,not-documented,partially-documented,README.md (Getting Started / Running the Test),"README documents setup, data import, runners, and run commands, but evaluator source (eval/eval.py comparison logic) is truncated and match criteria undocumented, so incomplete."
Dr.Spider,Metric definition,partially-documented,claimed-but-not-verifiable,partially-documented,README.md § 'To Evaluate a Model' / Leaderboard,"README names the metric (execution accuracy EX) and delegates computation to external test-suite-sql-eval, but the actual metric formula/code is not present in-repo."
Spider,Grading rules & tie-breaking,partially-documented,not-documented,partially-documented,README.md § Evaluation,README describes metrics and points to external test-suite eval repo; official evaluation.py not shown—only unrelated baseline BLEU/exact-match scripts. Metric documented but authoritative evaluator absent here.
BigCodeBench,Input/expected-output schema,partially-documented,documented-and-verifiable,partially-documented,bigcodebench/evaluate.py + README Remote Evaluation,"Fields task_id, complete_prompt, canonical_solution, test, entry_point appear in code; JSONL sample/result filenames documented, but no explicit input/output schema spec shown."
BigCodeBench,Metric definition,partially-documented,documented-and-verifiable,partially-documented,"bigcodebench/evaluate.py (estimate_pass_at_k, pass_k default '1,5,10')","Code exposes pass@k metric and estimate_pass_at_k import, but no shown source defines its computation formula; README omits metric definition."
BigCodeBench,Predictions->aggregate-score mapping,partially-documented,documented-and-verifiable,partially-documented,README.md Remote Evaluation; evaluate.py estimate_pass_at_k / pass_at_k,"README documents pass@k output files and evaluate.py imports estimate_pass_at_k, but the actual aggregation formula/source is not shown in the provided evidence."
DA-Code,Evaluator implementation available,partially-documented,documented-and-verifiable,partially-documented,README.md (Evaluate section) + da_agent/evaluators/evaluation.py,"Evaluator source present with runnable command, but evaluate.py entrypoint and full metrics not shown; documented args (result_dir) mismatch code. Conservative label warranted."
DA-Code,Predictions->aggregate-score mapping,claimed-but-not-verifiable,partially-documented,partially-documented,"README.md (Evaluate section) + da_agent/evaluators/evaluation.py (_get_eval_config_info, metric_conj/func/options)","Per-example metric mapping via eval_config func/conj is shown in evaluator source, but README's aggregate-score computation is truncated/incomplete; partial documentation."
DS-1000,Input/expected-output schema,partially-documented,documented-and-verifiable,documented-and-verifiable,README.md § Format / Usage,"README documents prompt/code_context fields, test_execution/test_string I/O contract, load code, and reproducible expected per-lib scores from test_ds1000.py."
DS-1000,Metric definition,partially-documented,documented-and-verifiable,documented-and-verifiable,"README.md Usage/Format + test_ds1000.py, execution.py","Metric is pass rate via test_execution/test_string per-lib mean, with runnable script and expected per-library numeric outputs shown."
DS-1000,Grading rules & tie-breaking,partially-documented,documented-and-verifiable,documented-and-verifiable,README.md Usage section + test_ds1000.py,"README gives exact setup, run command, and full expected per-library and overall scores (0.388); test_ds1000.py evaluates against provided codex002-answers.jsonl."
