Criterion,Group,Status,Mapping / justification
Canonical benchmark version,Identity/Provenance,Adapted,Datasheets/Model Cards document provenance; adapted to a frozen benchmark release id
Repository commit / release tag,Identity/Provenance,New,No prior framework records a frozen evaluator commit as an audit datum
Dataset version,Identity/Provenance,Inherited,Datasheets composition/versioning
License & access conditions,Identity/Provenance,Inherited,BetterBench usability; Datasheets distribution
Artifact-paper linkage,Identity/Provenance,Adapted,BenchmarkCards documents artifacts; adapted to verifying the link resolves
Input/expected-output schema,Task/Data,Adapted,BenchmarkCards methodology; adapted to executable-output schemas
Task construction procedure,Task/Data,Inherited,Datasheets collection process
Dataset source & preprocessing,Task/Data,Inherited,Datasheets composition/collection
Split definition,Task/Data,Inherited,standard ML reporting
Test-set access conditions,Task/Data,Adapted,contamination-control literature; adapted to access verification
Exact prompts / prompt-gen code,Prompt/Run,Adapted,BetterBench asks for replicability; adapted to prompt-level artifact
Agent scaffold & tool permissions,Prompt/Run,New,agentic-workflow-specific; not in doc standards
Model provider & version,Prompt/Run,Inherited,Model Cards
Decoding config & randomness,Prompt/Run,Adapted,BetterBench statistical-significance concern
Trials / sampling policy,Prompt/Run,Adapted,BetterBench replicability
Metric definition,Evaluation,Inherited,standard; BenchmarkCards
Evaluator implementation available,Evaluation,New,repository-level evaluator presence is not a prior-framework datum
Grading rules & tie-breaking,Evaluation,Adapted,evaluation-validity; adapted to executable grading
Judge model & judge prompt,Evaluation,Adapted,MEQA judge reliability; adapted to artifact disclosure
Sample predictions / trajectories,Evaluation,New,required for smoke testing; not a prior-framework datum
Predictions->aggregate-score mapping,Evaluation,New,reconstruction-specific; enables execution
Dependency specification,Environment,Adapted,BetterBench usability; adapted to executable env
Container / environment file,Environment,New,evaluator-execution-specific
Required services & credentials,Environment,New,blocks CPU-only execution; agentic-specific
Runtime / token / cost reporting,Environment,Inherited,BetterBench cost; REAL-C C dimension
