benchmark,blocker,kind,framework,covered,justification
BIRD,Input/expected-output schema,R2,BetterBench,partial,Replicability items ask whether an evaluation can be re-run but do not require an executable input/output contract
BIRD,Input/expected-output schema,R2,BenchmarkCards,yes,Methodology fields document task inputs and expected outputs
BIRD,Input/expected-output schema,R2,ReproEvalCard,yes,Reporting schema requires prompt and output format disclosure
BIRD,Input/expected-output schema,R2,Rollout Cards,yes,Rollout records fix the prediction/trajectory format
BIRD,Input/expected-output schema,R2,Auto Benchmark Audit,no,"Unit of analysis is the task instance, not the evaluator interface"
BIRD,Metric definition,R2,BetterBench,yes,Explicit best-practice item on metric specification
BIRD,Metric definition,R2,BenchmarkCards,yes,Documented metric field
BIRD,Metric definition,R2,ReproEvalCard,yes,Metric and judge-setting reporting requirement
BIRD,Metric definition,R2,Rollout Cards,yes,Re-grading requires a stated metric
BIRD,Metric definition,R2,Auto Benchmark Audit,partial,Detects metric misuse at task level but does not audit release-level metric disclosure
BIRD,Evaluator implementation available,R2,BetterBench,partial,Usability and replicability items reward available code without verifying an evaluator path
BIRD,Evaluator implementation available,R2,BenchmarkCards,no,Artifact links are documented but not verified
BIRD,Evaluator implementation available,R2,ReproEvalCard,no,Audits papers rather than release artifacts
BIRD,Evaluator implementation available,R2,Rollout Cards,yes,Repository inspection identifies scoring code
BIRD,Evaluator implementation available,R2,Auto Benchmark Audit,yes,Inspects repositories to run task-level checks
BIRD,Grading rules & tie-breaking,R2,BetterBench,partial,Covered only indirectly through replicability and statistical-reporting items
BIRD,Grading rules & tie-breaking,R2,BenchmarkCards,no,No field for grading edge cases or tie-breaking policy
BIRD,Grading rules & tie-breaking,R2,ReproEvalCard,partial,Judge settings are reported; deterministic grading edge cases are not
BIRD,Grading rules & tie-breaking,R2,Rollout Cards,yes,Central object: re-grading fixed outputs under alternative reporting rules
BIRD,Grading rules & tie-breaking,R2,Auto Benchmark Audit,no,Task-level auditing does not target the grading policy of the release
BIRD,Predictions->aggregate-score mapping,R2,BetterBench,no,Not a checklist item
BIRD,Predictions->aggregate-score mapping,R2,BenchmarkCards,no,Not a documentation field
BIRD,Predictions->aggregate-score mapping,R2,ReproEvalCard,no,Not in the reporting schema
BIRD,Predictions->aggregate-score mapping,R2,Rollout Cards,partial,Aggregation is manipulated but its public documentation is not audited per release
BIRD,Predictions->aggregate-score mapping,R2,Auto Benchmark Audit,no,Out of scope at the task level
BIRD-CRITIC / SQL-eval,Predictions->aggregate-score mapping,R2,BetterBench,no,Not a checklist item
BIRD-CRITIC / SQL-eval,Predictions->aggregate-score mapping,R2,BenchmarkCards,no,Not a documentation field
BIRD-CRITIC / SQL-eval,Predictions->aggregate-score mapping,R2,ReproEvalCard,no,Not in the reporting schema
BIRD-CRITIC / SQL-eval,Predictions->aggregate-score mapping,R2,Rollout Cards,partial,Aggregation is manipulated but its public documentation is not audited per release
BIRD-CRITIC / SQL-eval,Predictions->aggregate-score mapping,R2,Auto Benchmark Audit,no,Out of scope at the task level
