packet_id,benchmark,criterion,provider,label,evidence_refs,evidence_note,confidence
B001,BIRD,Input/expected-output schema,openai,not-documented,"[{""source_id"":""E002"",""line_start"":1,""line_end"":3},{""source_id"":""E003"",""line_start"":7,""line_end"":21},{""source_id"":""E004"",""line_start"":40,""line_end"":53}]","Code shows an agent API taking message lists with roles and content, but there is no description of the benchmark’s task format, input schema, or required prediction/output structure.",high
B001,BIRD,Input/expected-output schema,anthropic,not-documented,"[{""source_id"":""E002"",""line_start"":1,""line_end"":3},{""source_id"":""E003"",""line_start"":1,""line_end"":33}]",Packet shows agent classes and message-passing code but no documented input/output schema for tasks or expected answers.,medium
B001,BIRD,Input/expected-output schema,gemini,not-documented,"[{""source_id"":""E003"",""line_start"":7,""line_end"":33}]","The evaluation dataset schema, input format, and expected output format are not defined in the source code.",high
B001,BIRD,Metric definition,openai,not-documented,"[{""source_id"":""E001"",""line_start"":26,""line_end"":34},{""source_id"":""E004"",""line_start"":100,""line_end"":161}]","The README is a survey reading list; the agent code only handles text generation requests. No evaluation metrics (accuracy, reward, etc.) are defined or referenced for any benchmark.",high
B001,BIRD,Metric definition,anthropic,not-documented,"[{""source_id"":""E001"",""line_start"":1,""line_end"":30}]",README is a reading list of self-evolution papers; no metric definition for evaluation is stated anywhere in the packet.,medium
B001,BIRD,Metric definition,gemini,not-documented,"[{""source_id"":""E003"",""line_start"":1,""line_end"":33}]",No evaluation metrics or performance calculation methods are specified in the provided repository files.,high
B001,BIRD,Evaluator implementation available,openai,not-documented,"[{""source_id"":""E003"",""line_start"":7,""line_end"":21},{""source_id"":""E004"",""line_start"":40,""line_end"":53},{""source_id"":""E004"",""line_start"":102,""line_end"":135}]","Available code implements language model agents and HTTP calls but no evaluation or scoring functions, scripts, or classes that compare predictions to references or compute scores.",high
B001,BIRD,Evaluator implementation available,anthropic,partially-documented,"[{""source_id"":""E003"",""line_start"":1,""line_end"":33},{""source_id"":""E004"",""line_start"":1,""line_end"":161}]","Agent base classes and a FastChatAgent implementation exist, showing call/response mechanics, but no scoring/evaluation logic is shown to compute pass/fail or metrics.",medium
B001,BIRD,Evaluator implementation available,gemini,not-documented,"[{""source_id"":""E004"",""line_start"":23,""line_end"":161}]","Only agent scaffolding and API wrappers (FastChat, OpenAI) are shown; no evaluation environment, driver, or scoring loop is provided.",high
B001,BIRD,Grading rules & tie-breaking,openai,not-documented,"[{""source_id"":""E001"",""line_start"":25,""line_end"":35},{""source_id"":""E004"",""line_start"":136,""line_end"":161}]","There is no description of how outputs are judged, any rubric, partial credit rules, or tie-breaking procedures for scores in the provided files.",high
B001,BIRD,Grading rules & tie-breaking,anthropic,not-documented,"[{""source_id"":""E004"",""line_start"":40,""line_end"":100}]","No grading rules, thresholds, or tie-breaking logic appear in the agent code or README.",medium
B001,BIRD,Grading rules & tie-breaking,gemini,not-documented,"[{""source_id"":""E003"",""line_start"":1,""line_end"":33}]","Grading criteria, correct solutions, and tie-breaking mechanics are entirely absent from the packet.",high
B001,BIRD,Predictions->aggregate-score mapping,openai,not-documented,"[{""source_id"":""E003"",""line_start"":7,""line_end"":21},{""source_id"":""E004"",""line_start"":40,""line_end"":53},{""source_id"":""E004"",""line_start"":146,""line_end"":153}]",No code or documentation indicates how individual prediction evaluations are combined into an overall benchmark score or summary metric.,high
B001,BIRD,Predictions->aggregate-score mapping,anthropic,not-documented,"[{""source_id"":""E004"",""line_start"":1,""line_end"":161}]",No aggregation or scoring code is present; only model-calling utilities for thought/action generation are shown.,medium
B001,BIRD,Predictions->aggregate-score mapping,gemini,not-documented,"[{""source_id"":""E003"",""line_start"":1,""line_end"":33}]",No aggregation or summarization logic mapping individual run successes to overall statistics is documented.,high
B001,BIRD,Sample predictions / trajectories,openai,not-documented,"[{""source_id"":""E001"",""line_start"":30,""line_end"":38},{""source_id"":""E004"",""line_start"":84,""line_end"":91}]","While the agent code can generate text, there are no logged example predictions, trajectories, or annotated examples showing model outputs alongside ground truth or scores.",high
B001,BIRD,Sample predictions / trajectories,anthropic,not-documented,"[{""source_id"":""E001"",""line_start"":1,""line_end"":30},{""source_id"":""E004"",""line_start"":1,""line_end"":161}]","No example predictions, trajectories, or output samples are included in the packet; only source code and a survey reading list.",medium
B001,BIRD,Sample predictions / trajectories,gemini,not-documented,"[{""source_id"":""E003"",""line_start"":1,""line_end"":33}]","There are no sample trajectories, predictions, or offline log outputs in the provided files.",high
B002,BIRD-CRITIC / SQL-eval,Input/expected-output schema,openai,partially-documented,"[{""source_id"":""E001"",""line_start"":7,""line_end"":12},{""source_id"":""E001"",""line_start"":130,""line_end"":141},{""source_id"":""E003"",""line_start"":48,""line_end"":67}]","README explains that questions and gold SQL are stored in CSV files and that results are logged, and runner scripts show multiple question/output CSVs, but the precise column schemas and expected output columns are not specified.",high
B002,BIRD-CRITIC / SQL-eval,Input/expected-output schema,anthropic,partially-documented,"[{""source_id"":""E001"",""line_start"":130,""line_end"":142}]","README shows question/query CSV files and output CSV paths used in commands, but no formal schema for CSV columns is defined in packet.",medium
B002,BIRD-CRITIC / SQL-eval,Input/expected-output schema,gemini,partially-documented,"[{""source_id"":""E002"",""line_start"":30,""line_end"":52}]","The evaluation schema structures questions, gold queries, and predictions (often via CSV files), but the exact CSV schemas are not fully detailed in the packet.",medium
B002,BIRD-CRITIC / SQL-eval,Metric definition,openai,partially-documented,"[{""source_id"":""E001"",""line_start"":7,""line_end"":12},{""source_id"":""E002"",""line_start"":30,""line_end"":40},{""source_id"":""E002"",""line_start"":103,""line_end"":110}]",README names “exact” and “subset” matches but does not define them. eval.py shows normalization of result tables before comparison but the actual exact/subset comparison logic and metric formulas are not visible in the packet excerpt.,high
B002,BIRD-CRITIC / SQL-eval,Metric definition,anthropic,partially-documented,"[{""source_id"":""E001"",""line_start"":7,""line_end"":12}]",README states exact/subset match comparison of dataframes but defers detailed metric definition to an external blogpost link (not included).,medium
B002,BIRD-CRITIC / SQL-eval,Metric definition,gemini,documented-and-verifiable,"[{""source_id"":""E001"",""line_start"":7,""line_end"":13},{""source_id"":""E002"",""line_start"":30,""line_end"":110}]",Metrics are defined as 'exact' and 'subset' matching of query result dataframes. The normalization and ordering comparison rules are implemented in E002.,high
