packet_id,benchmark,criterion,openai,anthropic,gemini,aggregated_label,aggregation_rule
B001,BIRD,Input/expected-output schema,not-documented,not-documented,not-documented,not-documented,exact-majority
B001,BIRD,Metric definition,not-documented,not-documented,not-documented,not-documented,exact-majority
B001,BIRD,Evaluator implementation available,not-documented,partially-documented,not-documented,not-documented,exact-majority
B001,BIRD,Grading rules & tie-breaking,not-documented,not-documented,not-documented,not-documented,exact-majority
B001,BIRD,Predictions->aggregate-score mapping,not-documented,not-documented,not-documented,not-documented,exact-majority
B001,BIRD,Sample predictions / trajectories,not-documented,not-documented,not-documented,not-documented,exact-majority
B002,BIRD-CRITIC / SQL-eval,Input/expected-output schema,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B002,BIRD-CRITIC / SQL-eval,Metric definition,partially-documented,partially-documented,documented-and-verifiable,partially-documented,exact-majority
B002,BIRD-CRITIC / SQL-eval,Evaluator implementation available,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B002,BIRD-CRITIC / SQL-eval,Grading rules & tie-breaking,partially-documented,partially-documented,documented-and-verifiable,partially-documented,exact-majority
B002,BIRD-CRITIC / SQL-eval,Predictions->aggregate-score mapping,not-documented,not-documented,not-documented,not-documented,exact-majority
B002,BIRD-CRITIC / SQL-eval,Sample predictions / trajectories,not-documented,not-documented,not-documented,not-documented,exact-majority
B003,BLADE,Input/expected-output schema,partially-documented,partially-documented,claimed-but-not-verifiable,partially-documented,exact-majority
B003,BLADE,Metric definition,partially-documented,partially-documented,documented-and-verifiable,partially-documented,exact-majority
B003,BLADE,Evaluator implementation available,partially-documented,documented-and-verifiable,partially-documented,partially-documented,exact-majority
B003,BLADE,Grading rules & tie-breaking,not-documented,not-documented,not-documented,not-documented,exact-majority
B003,BLADE,Predictions->aggregate-score mapping,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B003,BLADE,Sample predictions / trajectories,claimed-but-not-verifiable,claimed-but-not-verifiable,claimed-but-not-verifiable,claimed-but-not-verifiable,exact-majority
B004,BigCodeBench,Input/expected-output schema,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B004,BigCodeBench,Metric definition,claimed-but-not-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B004,BigCodeBench,Evaluator implementation available,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B004,BigCodeBench,Grading rules & tie-breaking,claimed-but-not-verifiable,partially-documented,partially-documented,partially-documented,exact-majority
B004,BigCodeBench,Predictions->aggregate-score mapping,claimed-but-not-verifiable,documented-and-verifiable,partially-documented,partially-documented,conservative-three-way-tie
B004,BigCodeBench,Sample predictions / trajectories,claimed-but-not-verifiable,claimed-but-not-verifiable,claimed-but-not-verifiable,claimed-but-not-verifiable,exact-majority
B005,BixBench,Input/expected-output schema,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
