Prior work,Unit of analysis,Domain,Documentation audit,Claim-evidence comparison,Repository inspection,Evaluator execution,Human reliability study,Released evidence dataset,Reference
BetterBench (Reuel et al. 2024),benchmark,general AI benchmarks,yes,partial,no,no,yes,yes,arXiv:2411.12990
BenchmarkCards (Sokol et al. 2024),benchmark,LLM benchmarks,yes,no,no,no,yes,yes,arXiv:2410.12974
MEQA (2025),benchmark,QA / cybersecurity,yes,partial,no,no,yes,no,arXiv:2504.14039
Evaluation Cards (2026),eval report,AI evaluation reporting,yes,partial,no,no,no,yes,arXiv:2606.09809
EvalCards (2025),eval report,NLP evaluation,yes,no,no,no,no,partial,arXiv:2511.21695
ReproEvalCard (2026),paper / evaluation pipeline,LLM pipelines,yes,partial,no,no,no,yes,ACL 2026 short.22
Rollout Cards (2026),rollout record,agent research,yes,yes,yes,yes,no,yes,arXiv:2605.12131
Auto Benchmark Audit (2026),benchmark task,agent and LLM benchmarks,partial,partial,yes,yes,yes,yes,arXiv:2605.26079
REPRO-Bench (2025),paper (social sci.),reproducibility agents,no,partial,yes,yes,no,yes,arXiv:2507.18901
Datasheets for Datasets (Gebru et al. 2021),dataset,ML datasets,yes,no,no,no,no,no,CACM 10.1145/3458723
Model Cards (Mitchell et al. 2019),model,ML models,yes,no,no,no,no,no,FAT* 10.1145/3287560.3287596
Automated task-level auditing (e.g. contamination/annotation),task/example,various,no,partial,partial,no,no,partial,(e.g. Jin 2026; contamination surveys)
This work,benchmark release,data-science FM benchmarks,yes,yes,yes,yes,no (protocol released),yes,--
