benchmark,criterion,coder_A,coder_B,agree,A_pointer,B_pointer
BLADE,Input/expected-output schema,partially-documented,partially-documented,1,"blade_bench/eval/datamodel/run.py, blade_bench/data (DatasetInfo)","README sections 3-4, datamodel files"
BLADE,Metric definition,partially-documented,partially-documented,1,blade_bench/eval/datamodel/run.py SingleRunMetrics/MetricsAcrossRuns,eval/datamodel/run.py SingleRunMetrics and MetricsAcrossRuns
BLADE,Evaluator implementation available,documented-and-verifiable,documented-and-verifiable,1,"blade_bench/eval/convert.py, run_get_eval.py","eval/convert.py Convert class, run_get_eval.py"
BLADE,Grading rules & tie-breaking,not-documented,not-documented,1,none,No location found
BLADE,Predictions->aggregate-score mapping,partially-documented,partially-documented,1,run.py MetricsAcrossRuns computed_fields,eval/datamodel/run.py MetricsAcrossRuns computed fields
BLADE,Sample predictions / trajectories,claimed-but-not-verifiable,documented-and-verifiable,0,README example/multirun_analyses.json,example/multirun_analyses.json
DataSciBench,Input/expected-output schema,not-documented,not-documented,1,none,README and eval.py
DataSciBench,Metric definition,not-documented,documented-and-verifiable,0,none,"eval.py lines 88-110, 112-114"
DataSciBench,Evaluator implementation available,not-documented,documented-and-verifiable,0,none,eval.py Vote class
DataSciBench,Grading rules & tie-breaking,not-documented,not-documented,1,none,eval.py
DataSciBench,Predictions->aggregate-score mapping,not-documented,partially-documented,0,none,eval.py get_result_df method line 125
DataSciBench,Sample predictions / trajectories,not-documented,documented-and-verifiable,0,none,"eval.py lines 60-67, 75-86"
DiscoveryBench,Input/expected-output schema,partially-documented,partially-documented,1,discovery_eval.py options; README metadata_path/type,discovery_eval.py CLI options
DiscoveryBench,Metric definition,claimed-but-not-verifiable,claimed-but-not-verifiable,1,README 'faceted evaluation'; run_eval_gold_vs_gen_NL_hypo_workflow,README mentions 'faceted evaluation'
DiscoveryBench,Evaluator implementation available,partially-documented,partially-documented,1,discovery_eval.py imports eval.new_eval,discovery_eval.py imports eval.new_eval
DiscoveryBench,Grading rules & tie-breaking,not-documented,not-documented,1,none,N/A
DiscoveryBench,Predictions->aggregate-score mapping,not-documented,not-documented,1,discovery_eval.py eval_output_path,N/A
DiscoveryBench,Sample predictions / trajectories,not-documented,not-documented,1,none,N/A
QRData,Input/expected-output schema,documented-and-verifiable,documented-and-verifiable,1,README.md Benchmark section,README + benchmark/eval.py
QRData,Metric definition,documented-and-verifiable,documented-and-verifiable,1,benchmark/eval.py calc_acc,benchmark/eval.py calc_acc function
QRData,Evaluator implementation available,documented-and-verifiable,documented-and-verifiable,1,benchmark/eval.py,benchmark/eval.py
QRData,Grading rules & tie-breaking,partially-documented,documented-and-verifiable,0,benchmark/eval.py calc_acc/extract_first_number,benchmark/eval.py lines 22-41
QRData,Predictions->aggregate-score mapping,documented-and-verifiable,documented-and-verifiable,1,benchmark/eval.py calc_acc return,benchmark/eval.py line 43
QRData,Sample predictions / trajectories,not-documented,not-documented,1,n/a,N/A
DSBench,Input/expected-output schema,partially-documented,partially-documented,1,data_modeling/evaluation/*_eval.py (answer_file/predict_file CSV columns),"README overview, evaluator scripts"
DSBench,Metric definition,documented-and-verifiable,documented-and-verifiable,1,"cat-in-the-dat_eval.py, bike-sharing-demand_eval.py",data_modeling/evaluation/*_eval.py
DSBench,Evaluator implementation available,documented-and-verifiable,documented-and-verifiable,1,data_modeling/evaluation/*_eval.py,data_modeling/evaluation/*_eval.py
DSBench,Grading rules & tie-breaking,not-documented,not-documented,1,none shown,N/A
DSBench,Predictions->aggregate-score mapping,partially-documented,not-documented,0,*_eval.py writes result.txt per task,N/A
DSBench,Sample predictions / trajectories,not-documented,not-documented,1,none shown,N/A
MLGym,Input/expected-output schema,partially-documented,partially-documented,1,"data/3SATTime/evaluate.py, data/bertMNLI/evaluate.py",evaluate.py files
MLGym,Metric definition,documented-and-verifiable,documented-and-verifiable,1,"data/blotto, bertMNLI, 3SATTime evaluate.py",evaluate.py files
MLGym,Evaluator implementation available,documented-and-verifiable,documented-and-verifiable,1,"data/blotto/evaluate.py, data/bertMNLI/evaluate.py, data/3SATTime/evaluate.py",data/*/evaluate.py
MLGym,Grading rules & tie-breaking,partially-documented,not-documented,0,data/blotto/evaluate.py calculate_payoffs; 3SATTime penalty branch,N/A
MLGym,Predictions->aggregate-score mapping,not-documented,not-documented,1,none shown,N/A
MLGym,Sample predictions / trajectories,claimed-but-not-verifiable,not-documented,0,README Trajectory Visualizer section,N/A
TabFact,Input/expected-output schema,documented-and-verifiable,documented-and-verifiable,1,"README.md (Dataset Statistics, collected_data/tokenized_data format examples)","README.md, tokenized_data/*.json files"
TabFact,Metric definition,partially-documented,not-documented,0,README.md ('evaluate the fact verification accuracy'),N/A
TabFact,Evaluator implementation available,partially-documented,not-documented,0,"code/run_BERT.py, code/model.py (referenced, not fully shown)",N/A
TabFact,Grading rules & tie-breaking,not-documented,not-applicable,0,n/a,N/A
TabFact,Predictions->aggregate-score mapping,partially-documented,not-documented,0,README.md (CodaLab submission format {test_id: label}),N/A
TabFact,Sample predictions / trajectories,not-documented,not-documented,1,n/a,N/A
WikiTableQuestions,Input/expected-output schema,documented-and-verifiable,documented-and-verifiable,1,README: Questions and Answers / TSV Format,README Field descriptions section
WikiTableQuestions,Metric definition,documented-and-verifiable,documented-and-verifiable,1,evaluator.py module docstring,evaluator.py docstring lines 1-44
WikiTableQuestions,Evaluator implementation available,documented-and-verifiable,partially-documented,0,"evaluator.py (full source shown, truncated at DateValue init)",evaluator.py truncated at DateValue.__init__
WikiTableQuestions,Grading rules & tie-breaking,partially-documented,documented-and-verifiable,0,evaluator.py docstring: matching rules 1-3,evaluator.py docstring match conditions
WikiTableQuestions,Predictions->aggregate-score mapping,not-documented,not-documented,1,README Evaluator section; evaluator.py shown portion,N/A
WikiTableQuestions,Sample predictions / trajectories,not-documented,not-documented,1,N/A,N/A
BIRD,Input/expected-output schema,not-documented,not-documented,1,none shown,README
BIRD,Metric definition,not-documented,not-documented,1,none shown,README
BIRD,Evaluator implementation available,not-documented,not-documented,1,none shown,EPO/Alfshop/eval_agent/agents/
BIRD,Grading rules & tie-breaking,not-documented,not-documented,1,none shown,README
BIRD,Predictions->aggregate-score mapping,not-documented,not-documented,1,none shown,README
BIRD,Sample predictions / trajectories,not-documented,not-documented,1,none shown,README
BIRD-CRITIC / SQL-eval,Input/expected-output schema,partially-documented,documented-and-verifiable,0,"README (question/query CSV files, e.g. data/questions_gen_postgres.csv)","README Getting Started section, data/questions_gen_postgres.csv references"
BIRD-CRITIC / SQL-eval,Metric definition,partially-documented,partially-documented,1,README Introduction step 3; eval/eval.py normalize_table,"README step 3, eval/eval.py normalize_table function"
BIRD-CRITIC / SQL-eval,Evaluator implementation available,documented-and-verifiable,partially-documented,0,"eval/eval.py (deduplicate_columns, normalize_table)",eval/eval.py
BIRD-CRITIC / SQL-eval,Grading rules & tie-breaking,partially-documented,not-documented,0,eval/eval.py normalize_table (order_by handling),N/A
BIRD-CRITIC / SQL-eval,Predictions->aggregate-score mapping,claimed-but-not-verifiable,claimed-but-not-verifiable,1,README Introduction step 4 ('aggregate the results for reporting'),README step 4
BIRD-CRITIC / SQL-eval,Sample predictions / trajectories,not-documented,not-documented,1,none found in shown README/files,N/A
Dr.Spider,Input/expected-output schema,partially-documented,partially-documented,1,README 'To Use'; data_preprocess.py; copy_pre_perturbation_predictions.py,README and data structure description
Dr.Spider,Metric definition,partially-documented,claimed-but-not-verifiable,0,README 'Leaderboard' section (EX accuracy),README evaluation section and leaderboard
Dr.Spider,Evaluator implementation available,claimed-but-not-verifiable,claimed-but-not-verifiable,1,README 'To Evaluate a Model' link to test-suite-sql-eval,README evaluation instructions
Dr.Spider,Grading rules & tie-breaking,not-documented,not-documented,1,none found,N/A
Dr.Spider,Predictions->aggregate-score mapping,partially-documented,partially-documented,1,README 'Leaderboard' table description (macro average),README leaderboard section
Dr.Spider,Sample predictions / trajectories,not-documented,not-documented,1,none found,N/A
Spider,Input/expected-output schema,documented-and-verifiable,documented-and-verifiable,1,README.md 'Data Content and Format' section,README.md Data Content and Format section
Spider,Metric definition,partially-documented,partially-documented,1,README.md 'Evaluation' section,README.md Evaluation section
Spider,Evaluator implementation available,claimed-but-not-verifiable,claimed-but-not-verifiable,1,README mentions evaluation.py/process_sql.py; only baseline eval.py shown,README.md Evaluation section (11/15/20 update)
Spider,Grading rules & tie-breaking,partially-documented,not-documented,0,README.md 'Evaluation' section (cuts off mid-explanation),N/A
Spider,Predictions->aggregate-score mapping,not-documented,not-documented,1,none,N/A
Spider,Sample predictions / trajectories,not-documented,not-documented,1,none,N/A
BigCodeBench,Input/expected-output schema,partially-documented,documented-and-verifiable,0,"bigcodebench/evaluate.py (problem dict keys: task_id, complete_prompt, canonical_solution, test, entry_point)","bigcodebench/evaluate.py check_correctness function, get_bigcodebench dataset"
BigCodeBench,Metric definition,partially-documented,documented-and-verifiable,0,"bigcodebench/evaluate.py imports estimate_pass_at_k, pass_k='1,5,10'","bigcodebench/evaluate.py estimate_pass_at_k, PASS constant"
BigCodeBench,Evaluator implementation available,documented-and-verifiable,documented-and-verifiable,1,"bigcodebench/evaluate.py, check_correctness/untrusted_check/trusted_check","bigcodebench/evaluate.py check_correctness, untrusted_check, trusted_check"
BigCodeBench,Grading rules & tie-breaking,partially-documented,partially-documented,1,"bigcodebench/evaluate.py check_correctness (time/memory limits, calibrated flag)",bigcodebench/evaluate.py untrusted_check returns status tuple
