benchmark,category,arxiv_id,frozen_commit,A0_described,A1_accessible,R2_reconstructable,n_ok_of_5,attempted_execution,first_pass_label,E3_first_pass,E3_after_repair,E3_smoke_testable,evaluator,dataset,sample_predictions,env_file,container,license,analysis_set
BigCodeBench,code-gen,2406.15877,09dd993f46c3fbf3a799465bb96d524edcb0b199,True,True,1,5,False,credential-or-service-blocked,False,False,False,1,1,0,1,1,1,primary-frozen
DA-Code,code-gen,2410.07331,b211daf51fdc9b52d5087c9df28ac50191bcabed,True,True,1,5,True,missing-required-data,False,False,False,1,1,1,1,0,1,primary-frozen
DS-1000,code-gen,2211.11501,b39aab71da6d23ef8d3cac59a7c5f834516ab334,True,True,1,5,True,dependency-or-environment-failure,False,True,True,1,1,0,1,0,1,primary-frozen
PandasEval/NumpyEval (CERT),code-gen,2206.06888,62d8430dfa0e38b5efa66e6736c20942d131e9b7,True,True,0,2,True,dependency-or-environment-failure,False,False,False,1,1,1,1,0,1,primary-frozen
BLADE,e2e-agent,2408.09667,6118fa8d5007b91aa8c91c518182db82446a4547,True,True,0,4,True,credential-or-service-blocked,False,False,False,1,1,1,1,0,1,primary-frozen
BixBench,e2e-agent,2503.00096,49311180bdacb324c596f2e07596c126f2004008,True,True,1,5,True,credential-or-service-blocked,False,False,False,1,1,0,1,0,1,primary-frozen
DataSciBench,e2e-agent,2502.13897,84ef3d4d94d7362a5149cf14a73dc168fc4f2f33,True,True,0,4,False,missing-required-data,False,False,False,1,1,1,1,1,0,primary-frozen
DiscoveryBench,e2e-agent,2407.01725,c31fcf011e070f021a5f5b906896d0821f6880e8,True,True,0,2,True,credential-or-service-blocked,False,False,False,1,1,0,1,0,1,primary-frozen
InfiAgent-DABench,e2e-agent,2401.05507,3d6c4a70198e0a41fadf539f5b43c88b8c1a2d9c,True,True,1,5,True,pass-as-documented,True,False,True,1,1,1,1,0,1,primary-frozen
QRData,e2e-agent,2402.17644,de450af45ff7101b328bb064c6b475f73414a7ed,True,True,1,5,True,pass-as-documented,True,False,True,1,1,0,0,0,1,primary-frozen
ScienceAgentBench,e2e-agent,2410.0508,72220ee8d20a0b8770835e48c22675c65074c364,True,True,1,5,True,pass-as-documented,True,False,True,1,0,0,1,0,1,primary-frozen
Spider2-V,e2e-agent,2407.10956,c2a3a6c2f5d7604464f162c6550b60db3eee04e8,True,True,0,3,False,not-applicable,False,False,False,1,1,1,1,0,1,primary-frozen
DSBench,ml-eng,2409.07703,ba786096137a5108af11c016ad3f09cdb97beefd,True,True,0,3,True,pass-as-documented,True,False,True,1,1,0,0,0,1,primary-frozen
