benchmark,category,n_files,clone,has_evaluator,has_dataset,has_sample_predictions,has_env_file,has_container,has_readme,has_license
BigCodeBench,code-gen,72,True,True,True,False,True,True,True,True
DA-Code,code-gen,424,True,True,True,True,True,False,True,True
DS-1000,code-gen,22,True,True,True,False,True,False,True,True
PandasEval/NumpyEval (CERT),code-gen,182,True,True,True,True,True,False,True,True
BLADE,e2e-agent,198,True,True,True,True,True,False,True,True
BixBench,e2e-agent,52,True,True,True,False,True,False,True,True
DataSciBench,e2e-agent,7202,True,True,True,True,True,True,True,False
DiscoveryBench,e2e-agent,1499,True,True,True,False,True,False,True,True
InfiAgent-DABench,e2e-agent,167,True,True,True,True,True,False,True,True
QRData,e2e-agent,35,True,True,True,False,False,False,True,True
ScienceAgentBench,e2e-agent,31,True,True,False,False,True,False,True,True
Spider2-V,e2e-agent,3831,True,True,True,True,True,False,True,True
DSBench,ml-eng,100,True,True,True,False,False,False,True,True
MLAgentBench,ml-eng,387,True,True,True,True,True,True,True,True
MLE-bench,ml-eng,1015,True,True,True,True,True,False,True,True
MLGym,ml-eng,1597,True,True,True,True,True,True,True,True
RE-Bench,ml-eng,82,True,True,True,False,True,True,True,True
SpreadsheetBench,tabular,31,True,True,True,True,True,False,True,False
TabFact,tabular,16639,True,True,True,False,False,False,True,True
TableBench,tabular,32,True,True,True,False,True,False,True,False
WikiTableQuestions,tabular,19914,True,True,True,False,False,False,True,True
BIRD,text2sql,5436,True,True,True,True,True,True,True,True
BIRD-CRITIC / SQL-eval,text2sql,82,True,True,True,False,True,False,True,True
Dr.Spider,text2sql,11,True,True,True,False,False,False,True,True
Spider,text2sql,262,True,True,True,True,True,False,True,True
Spider 2.0,text2sql,40293,True,True,True,True,True,True,True,True
